kommune_id;indbygger_gruppe_id;aarstal;udvandret_indevaerende_aar;udvandret_foer_indevaerende_aar
1;1;2006;0;0
1;1;2007;5109;168
1;1;2008;5225;411
1;1;2009;5197;557
1;1;2010;5519;697
1;1;2011;5761;2275
1;1;2012;5789;878
1;1;2013;5586;867
1;1;2014;5641;1223
1;1;2015;5790;1051
1;1;2016;6342;1200
1;1;2017;6632;1225
2;1;2006;0;0
2;1;2007;1067;12
2;1;2008;1036;94
2;1;2009;1108;187
2;1;2010;1119;97
2;1;2011;1074;156
2;1;2012;1018;100
2;1;2013;1077;509
2;1;2014;1127;416
2;1;2015;1066;202
2;1;2016;1030;192
2;1;2017;1109;467
1;20;2006;0;0
1;20;2007;4924;136
1;20;2008;5039;329
1;20;2009;5033;546
1;20;2010;5644;667
1;20;2011;5802;1758
1;20;2012;6377;729
1;20;2013;6391;819
1;20;2014;6606;1089
1;20;2015;6256;873
1;20;2016;7043;1268
1;20;2017;6944;1139
2;20;2006;0;0
2;20;2007;1034;22
2;20;2008;1110;76
2;20;2009;1157;191
2;20;2010;1282;110
2;20;2011;1178;116
2;20;2012;1061;107
2;20;2013;1273;449
2;20;2014;1208;385
2;20;2015;1273;213
2;20;2016;1171;205
2;20;2017;1279;471
