indbygger_gruppe_id	koen	aldersgruppe
1	Mænd	0-150
2	Mænd	0-4
3	Mænd	5-9
4	Mænd	10-14
5	Mænd	15-19
6	Mænd	20-24
7	Mænd	25-29
8	Mænd	30-34
9	Mænd	35-39
10	Mænd	40-44
11	Mænd	45-49
12	Mænd	50-54
13	Mænd	55-59
14	Mænd	60-64
15	Mænd	65-69
16	Mænd	70-74
17	Mænd	75-79
18	Mænd	80-84
19	Mænd	85-89
20	Kvinder	0-150
21	Kvinder	0-4
22	Kvinder	5-9
23	Kvinder	10-14
24	Kvinder	15-19
25	Kvinder	20-24
26	Kvinder	25-29
27	Kvinder	30-34
28	Kvinder	35-39
29	Kvinder	40-44
30	Kvinder	45-49
31	Kvinder	50-54
32	Kvinder	55-59
33	Kvinder	60-64
34	Kvinder	65-69
35	Kvinder	70-74
36	Kvinder	75-79
37	Kvinder	80-84
38	Kvinder	85-89
